Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
3-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.5,13.0,12.95,0.05,0.39%,100000,-
4-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.45,12.95,13.0,-0.05,0.38%,53000,-
5-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.45,13.0,12.95,0.05,0.39%,84600,-
6-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.45,13.0,13.0,0.0,-,88800,-
7-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.4,12.95,13.0,-0.05,0.38%,169800,-
10-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,12.95,12.8,12.95,-0.15,1.16%,74600,-
11-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.45,13.1,12.8,12.8,0.0,-,217600,-
12-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,13.0,12.75,12.8,-0.05,0.39%,75800,-
13-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.4,12.8,12.55,12.75,-0.2,1.57%,77100,-
14-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.6,13.3,12.95,12.55,0.4,3.19%,47200,-
17-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.75,13.0,12.95,12.95,0.0,-,343900,-
18-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.3,13.0,12.95,0.05,0.39%,318500,-
19-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.65,13.0,12.85,13.0,-0.15,1.15%,48700,-
20-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.0,12.9,12.85,0.05,0.39%,27200,-
21-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.3,13.0,12.9,0.1,0.78%,2695300,-
24-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.2,13.1,13.0,0.1,0.77%,79700,-
25-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.7,13.2,12.75,13.1,-0.35,2.67%,137700,-
26-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.2,13.1,12.75,0.35,2.75%,86100,-
27-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,12.95,12.9,13.1,-0.2,1.53%,149100,-
28-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.0,12.95,12.9,0.05,0.39%,43800,-
31-Jan-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.05,12.95,12.95,0.0,-,96500,-
1-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.0,12.95,12.95,0.0,-,128700,-
2-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.95,13.05,13.0,12.95,0.05,0.39%,483500,-
3-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.95,13.1,13.05,13.0,0.05,0.38%,2768200,-
4-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.95,13.1,13.0,13.05,-0.05,0.38%,104200,-
7-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.0,12.95,13.0,-0.05,0.38%,83600,-
8-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.0,13.0,12.95,0.05,0.39%,1297600,-
9-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.0,12.9,13.0,-0.1,0.77%,672400,-
10-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.0,12.85,12.9,-0.05,0.39%,135000,-
11-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.05,12.95,12.85,0.1,0.78%,1060300,-
14-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.0,13.0,12.95,0.05,0.39%,95700,-
15-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.5,13.0,13.0,0.0,-,651000,-
16-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.35,13.05,13.0,0.05,0.38%,853900,-
17-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.35,13.05,13.05,0.0,-,3254900,-
18-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.5,13.15,13.05,0.1,0.77%,37700,-
21-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.4,13.15,13.15,0.0,-,103400,-
22-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.05,13.4,13.15,13.15,0.0,-,84700,-
23-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.4,13.15,13.15,0.0,-,152200,-
24-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.65,13.15,13.0,13.15,-0.15,1.14%,181600,-
25-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.7,13.0,12.85,13.0,-0.15,1.15%,99700,-
28-Feb-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.65,13.0,12.9,12.85,0.05,0.39%,185300,-
1-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.0,12.95,12.9,0.05,0.39%,55000,-
2-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.05,12.95,12.95,0.0,-,45400,-
3-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.05,13.0,12.95,0.05,0.39%,80200,-
4-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.15,12.95,13.0,-0.05,0.38%,79400,-
7-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.1,12.95,12.95,0.0,-,63300,-
8-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.0,12.9,12.95,-0.05,0.39%,171700,-
9-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.1,12.85,12.9,-0.05,0.39%,276600,-
10-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.75,13.1,12.95,12.85,0.1,0.78%,74500,-
11-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.7,12.95,12.85,12.95,-0.1,0.77%,58600,-
14-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.0,12.9,12.85,0.05,0.39%,1177600,-
15-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.1,12.95,12.9,0.05,0.39%,103700,-
16-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.95,13.1,12.95,12.95,0.0,-,39300,-
17-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.1,13.05,12.95,0.1,0.77%,89900,-
18-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,13.0,13.6,13.3,13.05,0.25,1.92%,152400,-
21-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,14.0,13.2,13.3,-0.1,0.75%,201600,-
22-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.3,13.1,13.2,-0.1,0.76%,112600,-
23-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.2,12.95,13.1,-0.15,1.15%,94500,-
24-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,13.1,12.95,12.95,0.0,-,87800,-
25-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.85,12.95,12.9,12.95,-0.05,0.39%,195500,-
28-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,12.9,12.85,12.9,-0.05,0.39%,235400,-
29-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.1,12.9,12.85,0.05,0.39%,72700,-
30-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.4,12.85,12.9,-0.05,0.39%,159100,-
31-Mar-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.75,13.15,12.85,12.85,0.0,-,97300,-
1-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,13.0,12.6,12.85,-0.25,1.95%,390900,-
4-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,13.0,12.75,12.6,0.15,1.19%,54800,-
5-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,13.0,12.8,12.75,0.05,0.39%,158000,-
6-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.6,13.0,12.8,12.8,0.0,-,76900,-
7-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.6,13.15,12.75,12.8,-0.05,0.39%,30800,-
8-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,13.0,12.7,12.75,-0.05,0.39%,56000,-
11-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,12.8,12.55,12.7,-0.15,1.18%,74000,-
12-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,13.0,12.85,12.55,0.3,2.39%,55600,-
13-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.8,13.0,12.85,12.85,0.0,-,42500,-
14-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.7,13.0,12.85,12.85,0.0,-,76300,-
19-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,12.7,13.15,12.8,12.85,-0.05,0.39%,41000,-
20-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,12.75,13.0,12.85,12.8,0.05,0.39%,47800,-
21-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,12.6,13.0,12.8,12.85,-0.05,0.39%,52600,-
22-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.55,12.9,12.65,12.8,-0.15,1.17%,82100,-
25-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,12.55,12.75,12.65,12.65,0.0,-,123000,-
26-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,12.55,12.8,12.65,12.65,0.0,-,103500,-
27-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,12.7,12.6,12.65,-0.05,0.40%,161700,-
28-Apr-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.5,13.0,12.7,12.6,0.1,0.79%,200500,-
4-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.45,12.65,12.55,12.7,-0.15,1.18%,184200,-
5-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.35,12.65,12.5,12.55,-0.05,0.40%,203600,-
6-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.0,12.5,12.35,12.5,-0.15,1.20%,120600,-
9-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.35,12.5,12.5,12.35,0.15,1.21%,408100,-
10-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.35,12.5,12.5,12.5,0.0,-,180700,-
11-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.35,12.5,12.4,12.5,-0.1,0.80%,135000,-
12-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.0,12.5,12.25,12.4,-0.15,1.21%,262700,-
13-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,12.2,12.3,12.25,12.25,0.0,-,67000,-
16-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.05,12.5,12.15,12.25,-0.1,0.82%,221700,-
17-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.1,12.45,12.25,12.15,0.1,0.82%,161400,-
18-May-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14,11.9,12.25,12.0,12.25,-0.25,2.04%,356900,-
19-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.5,12.0,11.95,12.0,-0.05,0.42%,268300,-
20-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.1,12.0,11.6,11.95,-0.35,2.93%,148500,-
23-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.2,11.8,11.6,11.6,0.0,-,195300,-
24-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.3,11.95,11.55,11.6,-0.05,0.43%,270800,-
25-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.4,11.95,11.5,11.55,-0.05,0.43%,620000,-
26-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.4,11.7,11.45,11.5,-0.05,0.43%,1797000,-
27-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.6,11.95,11.95,11.45,0.5,4.37%,435500,-
30-May-22,COOP,Co-operative Bank of Kenya Ltd,11.1,14,11.8,12.5,12.05,11.95,0.1,0.84%,1034800,-
31-May-22,COOP,Co-operative Bank of Kenya Ltd,10.8,14,10.8,11.9,11.3,12.05,-0.75,6.22%,543700,-

